Position,Const,Created,Modified,Description,Name,Known For,Birth Date
188,nm0000165,2016-07-19,2016-07-19,"2002 – [b]A Beautiful Mind[/b]
2009 – Frost/Nixon",Ron Howard,Arrested Development,1954-03-01
189,nm0001392,2016-07-19,2016-07-19,"2002 – The Lord of the Rings: The Fellowship of the Ring
2004 – [b]The Lord of the Rings: The Return of the King[/b]",Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,1961-10-31
190,nm0551128,2016-07-19,2016-07-19,2003 – Chicago,Rob Marshall,Chicago,1960-10-17
191,nm0000264,2016-07-19,2016-07-19,2003 – Talk to Her,Pedro Almodóvar,Hable con ella,1949-09-25
192,nm0576987,2016-07-19,2016-07-19,2004 – City of God,Fernando Meirelles,The Constant Gardener,1955-11-09
193,nm0001068,2016-07-19,2016-07-19,2004 – Lost in Translation,Sofia Coppola,The Godfather Part III,1971-05-14
194,nm0000431,2016-07-19,2016-07-19,2005 – Ray,Taylor Hackford,Ray,1944-12-31
195,nm0668247,2016-07-19,2016-07-19,"2005 – Sideways
2012 – The Descendants
2014 – Nebraska",Alexander Payne,Nebraska,1961-02-10
196,nm0587955,2016-07-19,2016-07-19,"2006 – Capote
2015 – Foxcatcher",Bennett Miller,Foxcatcher,1966-12-30
197,nm0353673,2016-07-19,2016-07-19,2006 – Crash,Paul Haggis,Crash,1953-03-10
198,nm0000123,2016-07-19,2016-07-19,"2006 – Good Night, and Good Luck",George Clooney,The Ides of March,1961-05-06
199,nm0327944,2016-07-19,2016-07-19,"2007 – Babel
2015 – [b]Birdman or (The Unexpected Virtue of Ignorance)[/b]
2016 – [b]The Revenant[/b]",Alejandro G. Iñárritu,Biutiful,1963-08-15
200,nm0339030,2016-07-19,2016-07-19,2007 – United 93,Paul Greengrass,United 93,1955-08-13
201,nm0001053,2016-07-19,2016-07-19,"2008 – [b]No Country for Old Men[/b]
2011 – True Grit",Ethan Coen,The Ballad of Buster Scruggs,1957-09-21
202,nm0000759,2016-07-19,2020-06-09,"2008 – There Will Be Blood
2018 – Phantom Thread",Paul Thomas Anderson,Punch-Drunk Love,1970-06-26
203,nm0006904,2016-07-19,2016-07-19,2008 – Michael Clayton,Tony Gilroy,Michael Clayton,1956-09-11
204,nm0718646,2016-07-19,2016-07-19,"2008 – Juno
2010 – Up in the Air",Jason Reitman,Up in the Air,1977-10-19
205,nm0773603,2016-07-19,2016-07-19,2008 – The Diving Bell and the Butterfly,Julian Schnabel,At Eternity's Gate,1951-10-26
206,nm0000965,2016-07-19,2016-07-19,2009 – [b]Slumdog Millionaire[/b],Danny Boyle,127 Hours,1956-10-20
207,nm0000399,2016-07-19,2021-05-28,"2009 – The Curious Case of Benjamin Button
2011 – The Social Network
2021 – Mank",David Fincher,Se7en,1962-08-28
208,nm0000941,2016-07-19,2016-07-19,2010 – [b]The Hurt Locker[/b],Kathryn Bigelow,The Hurt Locker,1951-11-27
209,nm0200005,2016-07-19,2016-07-19,"2010 – Precious: Based on the Novel ""Push"" by Sapphire",Lee Daniels,Precious,1959-12-24
210,nm0393799,2016-07-19,2016-07-19,2011 – [b]The King's Speech[/b],Tom Hooper,Cats,1972-10-05
211,nm0004716,2016-07-19,2016-07-19,2011 – Black Swan,Darren Aronofsky,Pi,1969-02-12
212,nm0751102,2016-07-19,2016-07-19,"2011 – The Fighter
2013 – Silver Linings Playbook
2014 – American Hustle",David O. Russell,American Hustle,1958-08-20
213,nm0371890,2016-07-19,2016-07-19,2012 – [b]The Artist[/b],Michel Hazanavicius,The Artist,1967-03-29
214,nm0359734,2016-07-19,2016-07-19,2013 – Amour,Michael Haneke,Caché,1942-03-23
215,nm1022455,2016-07-19,2016-07-19,2013 – Beasts of the Southern Wild,Benh Zeitlin,Beasts of the Southern Wild,1982-10-14
216,nm0190859,2016-07-19,2020-06-09,"2014 – [b]Gravity[/b]
2019 – [b]Roma[/b]",Alfonso Cuarón,Gravity,1961-11-28
217,nm2588606,2016-07-19,2016-07-19,2014 – 12 Years a Slave,Steve McQueen,12 Years a Slave,1969-10-09
218,nm0000500,2016-07-19,2016-07-19,2015 – Boyhood,Richard Linklater,Waking Life,1960-07-30
219,nm0027572,2016-07-19,2016-07-19,2015 – The Grand Budapest Hotel,Wes Anderson,Fantastic Mr. Fox,1969-05-01
220,nm0878763,2016-07-19,2016-07-19,2015 – The Imitation Game,Morten Tyldum,Hodejegerne,1967-05-19
221,nm0570912,2016-07-19,2020-06-09,"2016 – The Big Short
2019 – Vice",Adam McKay,Don't Look Up,1968-04-17
222,nm0004306,2016-07-19,2016-07-19,2016 – Mad Max: Fury Road,George Miller,Mad Max: Fury Road,1945-03-03
223,nm1049433,2016-07-19,2016-07-19,2016 – Room,Lenny Abrahamson,Room,1966-11-30
224,nm0565336,2016-07-19,2016-07-19,2016 – Spotlight,Tom McCarthy,Win Win,1966-06-07
225,nm3227090,2017-05-02,2017-05-02,2017 – [b]La La Land[/b],Damien Chazelle,La La Land,1985-01-19
226,nm0898288,2017-05-02,2017-05-02,2017 – Arrival,Denis Villeneuve,Dune: Part One,1967-10-03
227,nm0518836,2017-05-02,2017-05-02,2017 – Manchester by the Sea,Kenneth Lonergan,Manchester by the Sea,1962-10-16
228,nm1503575,2017-05-02,2017-05-02,2017 – Moonlight,Barry Jenkins,If Beale Street Could Talk,1979-11-19
229,nm0868219,2020-06-09,2020-06-09,2018 – [b]The Shape of Water[/b],Guillermo del Toro,El laberinto del fauno,1964-10-09
230,nm1950086,2020-06-09,2020-06-09,2018 – Lady Bird,Greta Gerwig,Lady Bird,1983-08-04
231,nm0634240,2020-06-09,2020-06-09,2018 – Dunkirk,Christopher Nolan,Tenet,1970-07-30
232,nm1443502,2020-06-09,2020-06-09,2018 – Get Out,Jordan Peele,Get Out,1979-02-21
233,nm0487166,2020-06-09,2020-06-09,2019 – The Favourite,Yorgos Lanthimos,The Lobster,1973-09-23
234,nm0000490,2020-06-09,2020-06-09,2019 – BlacKkKlansman,Spike Lee,Do the Right Thing,1957-03-20
235,nm0667734,2020-06-09,2020-06-09,2019 – Cold War,Pawel Pawlikowski,Zimna wojna,1957-09-15
236,nm0094435,2020-06-09,2020-06-09,2020 – [b]Parasite[/b],Bong Joon Ho,Snowpiercer,1969-09-14
237,nm0680846,2020-06-09,2020-06-09,2020 – Joker,Todd Phillips,Joker,1970-12-20
238,nm2125482,2021-05-28,2021-05-28,2021 – [b]Nomadland[/b],Chloé Zhao,Nomadland,1982-03-31
239,nm2193504,2021-05-28,2021-05-28,2021 – Promising Young Woman,Emerald Fennell,Promising Young Woman,1985-10-01
240,nm1818032,2021-05-28,2021-05-28,2021 – Minari,Lee Isaac Chung,Minari,1978-10-19
241,nm0899121,2021-05-28,2021-05-28,2021 – Druk,Thomas Vinterberg,Jagten,1969-05-19
